Year,Max,Min
1984,77000,36000
1985,80000,36000
1986,74000,36000
1987,76000,37000
1988,77000,37000
1989,85000,39000
1990,78000,38000
1991,78000,35000
1992,76000,36000
1993,76000,38000
1994,78000,40000
1995,81000,41000
1996,86000,40000
1997,77000,41000
1998,80000,41000
1999,81000,45000
2000,82000,43000
2001,84000,42000
2002,81000,41000
2003,79000,44000
2004,78000,45000
2005,84000,43000
2006,87000,44000
2007,84000,46000
2008,79000,43000
2009,78000,41000
2010,79000,44000
2011,79000,45000
2012,81000,40000
2013,80000,35000
2014,83000,38000
2015,82000,43000
2016,82000,43000
2017,86000,45000
